,duration,lon,trip_id,lat
65,1850,-73.99786,3,40.75132
66,1859,-73.99888,3,40.74994
67,1868,-73.99959,3,40.74896
68,1877,-73.99999,3,40.74842
69,1886,-74.00065,3,40.74747
70,1895,-74.00155,3,40.74625
71,1904,-74.00401,3,40.74288
72,1913,-74.00446,3,40.74229
73,1922,-74.00454,3,40.74217
74,1931,-74.00462,3,40.74214
75,1940,-74.00464,3,40.74213
76,1949,-74.00477,3,40.74194
77,1958,-74.00497,3,40.74166
78,1967,-74.00622,3,40.74219
79,1976,-74.00772,3,40.74282
80,1985,-74.00846,3,40.74314
81,1994,-74.0084,3,40.74332
82,2003,-74.00851,3,40.74336
83,2012,-74.00871,3,40.74343
84,2021,-74.00877,3,40.74348
85,2030,-74.00881,3,40.7435
86,2039,-74.00884,3,40.7435
87,2048,-74.00887,3,40.74339
88,2057,-74.00895,3,40.74295
89,2066,-74.00896,3,40.74289
90,2075,-74.00897,3,40.7427
91,2084,-74.00931,3,40.7411
92,2093,-74.00936,3,40.74092
93,2102,-74.00943,3,40.74064
94,2111,-74.00956,3,40.74043
95,2120,-74.00978,3,40.74019
96,2129,-74.00992,3,40.74
97,2138,-74.00995,3,40.73989
98,2147,-74.00996,3,40.73981
99,2156,-74.0101,3,40.73957
100,2165,-74.01018,3,40.7394
101,2174,-74.0102,3,40.73929
102,2183,-74.01027,3,40.73888
103,2192,-74.01027,3,40.73868
104,2201,-74.01025,3,40.73852
105,2210,-74.01016,3,40.73756
106,2219,-74.01017,3,40.73733
107,2228,-74.01032,3,40.73569
108,2237,-74.01037,3,40.73543
109,2246,-74.01038,3,40.73525
110,2255,-74.01042,3,40.73483
111,2264,-74.01041,3,40.73456
112,2273,-74.01043,3,40.73421
113,2282,-74.01049,3,40.73369
114,2291,-74.01056,3,40.73292
115,2300,-74.01062,3,40.7326
116,2309,-74.01065,3,40.73227
117,2318,-74.01068,3,40.73192
118,2327,-74.01069,3,40.73155
119,2336,-74.01084,3,40.72987
120,2345,-74.01087,3,40.72965
121,2354,-74.01091,3,40.72951
122,2363,-74.01097,3,40.72885
123,2372,-74.01096,3,40.72872
124,2381,-74.01107,3,40.72761
125,2390,-74.01139,3,40.72539
126,2399,-74.01161,3,40.72423
127,2408,-74.01188,3,40.72291
128,2417,-74.012,3,40.72225
129,2426,-74.01225,3,40.72109
130,2435,-74.0123,3,40.72102
131,2444,-74.01235,3,40.72083
132,2453,-74.0124,3,40.7206
133,2462,-74.01248,3,40.72024
134,2471,-74.01264,3,40.71965
135,2480,-74.01266,3,40.7195
136,2489,-74.01274,3,40.71907
137,2498,-74.0128,3,40.71874
138,2507,-74.01287,3,40.71856
139,2516,-74.01317,3,40.71731
140,2525,-74.01339,3,40.71643
141,2534,-74.01364,3,40.71542
142,2543,-74.0137,3,40.7153
143,2552,-74.01377,3,40.71503
144,2561,-74.0138,3,40.715
145,2570,-74.01389,3,40.71493
146,2579,-74.0139,3,40.7149
